date,Stage,Disease,Symptoms
08-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
09-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
10-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
11-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
12-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
13-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
14-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
15-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
16-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
17-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
18-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
19-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
20-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
21-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
22-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
23-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
24-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
25-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
26-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
27-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
28-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
29-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
30-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
01-10-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
02-10-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
03-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
04-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
05-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
06-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
07-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
08-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
09-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
10-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
11-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
12-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
13-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
14-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
15-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
16-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
17-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
18-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
19-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
20-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
21-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
22-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
